menu,restaurant,happy_winter,happy_winter_snow,happy_winter_rain,happy_fall,happy_fall_rain,happy_summer,happy_summer_rain,happy_spring,happy_spring_rain,sad_spring_rain,sad_spring,sad_summer_rain,sad_summer,sad_fall_rain,sad_fall,sad_winter_rain,sad_winter,sad_winter_snow,angry_winter,angry_winter_snow,angry_winter_rain,angry_fall,angry_fall_rain,angry_summer,angry_summer_rain,angry_spring,angry_spring_rain
"매콤제육덮밥 우동, 모밀세트",역전우동,0.1,0.1,-0.1,0.55,0.35,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.85,1.05,0.4,0.6,0.4,0,0,-0.2,0.45,0.25,0,-0.2,0.5,0.3
"매콤치킨마요덮밥 우동, 모밀세트",역전우동,0.1,0.1,-0.1,0.55,0.35,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.85,1.05,0.4,0.6,0.4,0,0,-0.2,0.45,0.25,0,-0.2,0.5,0.3
"소불고기김치덮밥 우동,모밀세트",역전우동,0.1,0.1,-0.1,0.55,0.35,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.85,1.05,0.4,0.6,0.4,0,0,-0.2,0.45,0.25,0,-0.2,0.5,0.3
치킨미니덮밥,역전우동,0.1,-0.2,-0.1,0.1,-0.1,0.25,0.05,0.6,0.4,0.9,1.1,0.55,0.75,0.4,0.6,0.4,0.6,0.4,0,-0.3,-0.2,0,-0.2,0.15,-0.05,0.5,0.3
명란미니덮밥,역전우동,0.1,-0.2,-0.1,0.1,-0.1,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0,-0.3,-0.2,0,-0.2,0,-0.2,0.5,0.3
돼지갈비맛튀김,역전우동,0.1,-0.2,0.55,0.1,0.55,0.1,0.55,0.15,0.6,1.1,0.65,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,-0.3,0.45,0,0.45,0,0.45,0.05,0.5
불만두,역전우동,0.1,0.1,0.4,0.1,0.4,0.1,0.4,0.1,0.4,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
불오뎅,역전우동,0.1,0.1,-0.35,0.1,-0.35,0.15,-0.3,0.1,-0.35,0.15,0.6,0.2,0.65,0.15,0.6,0.15,0.6,0.15,0,0,-0.45,0,-0.45,0.05,-0.4,0,-0.45
새우튀김,역전우동,0.1,0.1,-0.35,0.1,-0.35,0.1,-0.35,0.1,-0.35,0.15,0.6,0.15,0.6,0.15,0.6,0.15,0.6,0.15,0,0,-0.45,0,-0.45,0,-0.45,0,-0.45
왕만두튀김,역전우동,0.1,0.1,0.4,0.1,0.4,0.1,0.4,0.1,0.4,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
매콤김말이,역전우동,0.1,0.1,0.55,0.1,0.55,0.1,0.55,0.1,0.55,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0.6,1.05,0,0,0.45,0,0.45,0,0.45,0,0.45
양파마요치킨,역전우동,0.1,-0.2,0.4,0.1,0.4,0.25,0.55,0.1,0.4,0.9,0.6,1.05,0.75,0.9,0.6,0.9,0.6,0.9,0,-0.3,0.3,0,0.3,0.15,0.45,0,0.3
황금계란볶음밥,고투웍,0,-0.1,0.3,0.05,0.35,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.75,0.45,0.7,0.4,0.7,0.7,0.6,1,0.75,1.05,0.7,1,0.7,1
차우차우면,고투웍,0,0,0.3,0.05,0.35,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.95,0.65,0.9,0.6,0.9,0.7,0.7,1,0.75,1.05,0.7,1,0.7,1
흑후추쇠고기,고투웍,0,-0.1,0.3,0.05,0.35,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.75,0.45,0.7,0.4,0.7,0.7,0.6,1,0.75,1.05,0.7,1,0.7,1
트리플베리탕수육,고투웍,0,0,0.3,0.05,0.35,0,0.3,0,0.3,0.3,0,0.3,0,0.35,0.05,0.3,0,0.3,0,0,0.3,0.05,0.35,0,0.3,0,0.3
스리라차마요새우,고투웍,0,0,0.3,0.05,0.35,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.95,0.65,0.9,0.6,0.9,0,0,0.3,0.05,0.35,0,0.3,0,0.3
고추깐풍치킨,고투웍,0,-0.3,0.3,0.05,0.35,0.15,0.45,0,0.3,0.9,0.6,1.05,0.75,0.95,0.65,0.9,0.6,0.9,0.1,-0.2,0.4,0.15,0.45,0.25,0.55,0.1,0.4
고추난자완쓰,고투웍,0,0,0.3,0.05,0.35,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.95,0.65,0.9,0.6,0.9,0,0,0.3,0.05,0.35,0,0.3,0,0.3
두부가지볶음,고투웍,0,-0.1,0.3,0.05,0.35,0.05,0.35,0,0.3,0.7,0.4,0.75,0.45,0.75,0.45,0.7,0.4,0.7,0,-0.1,0.3,0.05,0.35,0.05,0.35,0,0.3
쿵파오치킨,고투웍,0,0,0.3,0.05,0.35,0.15,0.45,0,0.3,0.9,0.6,1.05,0.75,0.95,0.65,0.9,0.6,0.9,0.1,0.1,0.4,0.15,0.45,0.25,0.55,0.1,0.4
새송이치킨,고투웍,0,0,0.3,0.05,0.35,0.15,0.45,0,0.3,0.9,0.6,1.05,0.75,0.95,0.65,0.9,0.6,0.9,0.1,0.1,0.4,0.15,0.45,0.25,0.55,0.1,0.4
마라탕,고투웍,0,0,0.3,0.05,0.35,0.1,0.4,0,0.3,0.9,0.6,1,0.7,0.95,0.65,0.9,0.6,0.9,0.9,0.9,1.2,0.95,1.25,1,1.3,0.9,1.2
마라범벅,고투웍,0,0,0.3,0.05,0.35,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.95,0.65,0.9,0.6,0.9,0.9,0.9,1.2,0.95,1.25,0.9,1.2,0.9,1.2
인생설렁탕,인생설렁탕,0.1,0.45,0.5,0.35,0.75,0.2,0.6,0.6,1,1.6,1.2,1.2,0.8,1.35,0.95,1.1,0.7,1.1,0.3,0.65,0.7,0.55,0.95,0.4,0.8,0.8,1.2
시래기된장설렁탕,인생설렁탕,0.1,0.45,0.5,0.35,0.75,0.2,0.6,0.6,1,1.6,1.2,1.2,0.8,1.35,0.95,1.1,0.7,1.1,0.3,0.65,0.7,0.55,0.95,0.4,0.8,0.8,1.2
들깨해장탕,인생설렁탕,0.1,0.45,0.5,0.35,0.75,0.2,0.6,0.6,1,1.6,1.2,1.2,0.8,1.35,0.95,1.1,0.7,1.1,0.3,0.65,0.7,0.55,0.95,0.4,0.8,0.8,1.2
곱빼기설렁탕,인생설렁탕,0.1,0.45,0.5,0.35,0.75,0.2,0.6,0.6,1,1.6,1.2,1.2,0.8,1.35,0.95,1.1,0.7,1.1,0.3,0.65,0.7,0.55,0.95,0.4,0.8,0.8,1.2
스지설렁탕,인생설렁탕,0.1,0.45,0.5,0.35,0.75,0.2,0.6,0.6,1,1.6,1.2,1.2,0.8,1.35,0.95,1.1,0.7,1.1,0.3,0.65,0.7,0.55,0.95,0.4,0.8,0.8,1.2
옛날불고기,인생설렁탕,0.1,0,0.45,0.55,0.9,0.15,0.5,0.6,0.95,1.55,1.2,1.1,0.75,1.5,1.15,1.05,0.7,1.05,0.3,0.2,0.65,0.75,1.1,0.35,0.7,0.8,1.15
양곱창전골,인생설렁탕,0.1,0,0.3,0.55,0.75,0.2,0.4,0.6,0.8,1.4,1.2,1,0.8,1.35,1.15,0.9,0.7,0.9,0.3,0.2,0.5,0.75,0.95,0.4,0.6,0.8,1
인생수육한판,인생설렁탕,0.1,0,0.2,0.55,0.65,0.15,0.25,0.6,0.7,1.1,1.2,0.65,0.75,1.05,1.15,0.6,0.7,0.6,0.3,0.2,0.4,0.75,0.85,0.35,0.45,0.8,0.9
국물불스지,인생설렁탕,0.1,0.1,0.2,0.55,0.65,0.1,0.2,0.6,0.7,1.1,1.2,0.6,0.7,1.05,1.15,0.6,0.7,0.6,0.3,0.3,0.4,0.75,0.85,0.3,0.4,0.8,0.9
목포식수육무침,인생설렁탕,0.1,0,0.2,0.55,0.65,0.15,0.25,0.6,0.7,0.8,0.9,0.35,0.45,0.75,0.85,0.3,0.4,0.3,0.7,0.6,0.8,1.15,1.25,0.75,0.85,1.2,1.3
